""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
RP11-34P13.7	-0.00078964408482248	0.018961310324479	0.0186329994660898	0.0329566139614967	0.0331306793508629	-0.00420987628212464	0.0244438085694084	-0.0217934033855847
RP11-34P13.8	0.00302201477754174	0.00873496342479301	0.00223749753273469	0.00342327094491608	0.00501749822920251	-0.0102329254827241	0.0118613406907443	-0.000358071420145623
RP11-34P13.9	-0.00853703430309424	-0.0121249461402756	-0.00908854044056529	-0.00916410981469518	-0.00793515050772211	0.00701388140173354	-0.0138775166986295	0.00492213251159975
AP006222.2	0.158432872422127	0.257303058939124	0.196667374373588	0.12223006129849	0.0957873943276832	-0.0465433427818761	0.245838437974518	-0.000147520389965742
RP4-669L17.10	0.0102876888516128	0.0469550785783864	0.0446532538253021	0.0436345334565494	0.0381484861182632	0.00137536395888371	0.0533300151119074	-0.0303289262833011
RP5-857K21.4	0.0018005739702956	0.00834817045547232	0.00669701436087466	0.00170372615123941	-0.00426207721995923	-0.00164831095525065	0.0126803613205656	-0.000433078966285505
RP11-206L10.4	-0.00853703430309424	-0.0121249461402756	-0.00908854044056529	-0.00916410981469518	-0.00793515050772211	0.00701388140173354	-0.0138775166986295	0.00492213251159975
RP11-206L10.9	0.020661097823501	0.0425675726344729	0.029825450370218	0.0489318599949274	0.0451802409073696	0.00168524145282966	0.0455038033417822	-0.0326922446470432
FAM87B	0.0273631929969932	0.00615109271676151	-0.00976657568860454	-0.00409043706499614	-0.0127676565184703	0.000218170955839581	0.0084153504361046	0.0186116824556156
LINC00115	0.0384282099311783	0.0625956524912359	0.0390046737799685	0.0483581303528571	0.0450898853405187	-0.026725830175018	0.0619862232666226	-0.0317163003432452
FAM41C	0.0570269717121404	0.0472787083869886	0.0273305775146142	0.0052362311819095	-0.00310134908269714	-0.0246889298784136	0.0455377849589832	0.0454034601210004
RP11-54O7.16	-0.0204959804733931	0.000276967297104751	0.00335286403946091	0.0294002760705486	0.0280822859127521	0.0111871074751451	0.00668849108424285	-0.0244809094540738
